Line,BankesSic,BankesCorr,VenetusA,ScholiaY/N,Aristarchus,CriticalSign,
250,Αμφιφονόν,Αντιφονόν,Ἀντιφονόν,N,N,N,
250,Πολεῑτην,Πολῑτην,Πολῑτην,N,N,N,
254,ως οφελ᾽,ὠφελετ,ὠφέλετ,N,N,N,
256,λελειπται,λελειφθαι,λελεῖφθαι,N,N,N,
258,τε,τ᾽,θ᾽,N,N,N,
258,ουτε,ουδε,οὐδὲ,N,N,N,
259,έμμενε,έμμεναι,έμμεναι,N,N,N,
263,εφωπλίσσειτε,εφωπλίσσαιτε,ἐφοπλίσσαιτε,N,N,N,
264,επιτειθε,επιθειτε,ἐπιθεῖτε,Y,N,N,
267,πρωτοπαγεα,πρωτοπαγη,πρωτοπαγέα,N,N,N,
273,ἑκατερθερ,ἑκατερθεν,ἑκάτερθεν,N,N,,
311,μεγιστος,μεγιστον,μάλιστα,Y,N,,
341,μεν,μιν,μιν,Y,N,,
354,νιου,νοου,νόου,N,N,,
370,κακα,κακον,κακὰ,Y,N,,
400,απεσθαι,ἑπεσθαι,ἕπεσθαι,Y,N,N,
413,δυωδεκατον,δυωδεκατη,δυωδεκάτη,N,N,N,
418,απελθων,ἐπελθων,ἐπελθὼν,N,N,N,
428,ενθαδε τοι,εν θανατοιό,ἐν θανάτοιό,N,N,N,
430,δε,τε,τε,N,N,N,
430,δε,γε,γε,N,N,N,
439,έν,άν,ἄν,N,N,N,
455,κλείδα,κληίδα,κληῗδα,N,N,N,
469,ἐξ,αφ,ἐξ,N,N,N,
475,ἀπέληγεν,ἀπελέγεν,ἀπέληγεν,N,N,N,
481,εξεικετο,εξ ἱκετο,ἐξίκετο,N,N,N,
521,εξεναριξε,εξεναριξα,ἐξενάριξα,N,N,N,
522,αλλ αγε,αλγεα,ἂλλ᾽ ἄγε,Y,N,N,
537,ποίησατ,ποίησαν,ποίησαν,N,N,N,
542,ενει,ενι,ενι,N,N,N,
545,Ελλήσποντον,Ελλήσποντος,Ἑλλήσποντος,Y,N,N,
557,επεῖ,επεὶ,ἐπεί,Y,N,N,
566,γ,κ,κ reg,Y,N,N,orig τ
580,γιτῶνα,χιτῶνα,χιτῶνα,N,N,N,
588,γιτῶνα,χιτῶνα,χιτῶνα,Y,N,N,
595,ως,ος,ὅσσ,N,N,N,
602,σειτου,σί̄του,σίτου,Y,N,N,
618,μεδώμεθα,μεδῶμεθα,μεδώμεθα,N,N,N,
661,ρέζων,ρεζων,ῥέζων,Y,N,N,
705,ζῶοντε,ζῶοντι,ζώοντι,N,N,N,
716,ΐξατέ,εΐξατέ,εἴξατέ,N,N,N,
722,επϊ,επει,ἐπὶ,Y,N,N,
738,παλα,παλαμῃσιν,παλάμῃσιν,N,N,N,
767,πως,πω,πω,Y,N,N,
802,δαινυν περικῡδεά,δαινυντ᾽ ερικῡδεά,δαίνυντ᾽ ἐρικυδέα,N,N,N,

