Observation,TextUrn,Image,Comments
urn:cite2:op:hc-il22.1,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ὡ,"urn:cite:hmt:vaimg.VA282RN-0452@0.125,0.5233,0.094,0.0788",
urn:cite2:op:hc-il22.2,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@σ,"urn:cite:hmt:vaimg.VA282RN-0452@0.215,0.5533,0.021,0.015",
urn:cite2:op:hc-il22.3,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ο,"urn:cite:hmt:vaimg.VA282RN-0452@0.231,0.5541,0.013,0.0128",
urn:cite2:op:hc-il22.4,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἱ,"urn:cite:hmt:vaimg.VA282RN-0452@0.24,0.5533,0.013,0.0128",
urn:cite2:op:hc-il22.5,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@μ,"urn:cite:hmt:vaimg.VA282RN-0452@0.252,0.5541,0.017,0.0128",
urn:cite2:op:hc-il22.6,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ὲ,"urn:cite:hmt:vaimg.VA282RN-0452@0.267,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.7,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ν,"urn:cite:hmt:vaimg.VA282RN-0452@0.279,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.8,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@κ,"urn:cite:hmt:vaimg.VA282RN-0452@0.298,0.5526,0.014,0.0128",
urn:cite2:op:hc-il22.9,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@α,"urn:cite:hmt:vaimg.VA282RN-0452@0.314,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.10,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τ,"urn:cite:hmt:vaimg.VA282RN-0452@0.326,0.5541,0.014,0.0128",
urn:cite2:op:hc-il22.11,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@α[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.337,0.5518,0.019,0.0128",
urn:cite2:op:hc-il22.12,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἄ[3],"urn:cite:hmt:vaimg.VA282RN-0452@0.356,0.5488,0.022,0.015",
urn:cite2:op:hc-il22.13,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@στ,"urn:cite:hmt:vaimg.VA282RN-0452@0.368,0.5526,0.019,0.015",
urn:cite2:op:hc-il22.14,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@υ,"urn:cite:hmt:vaimg.VA282RN-0452@0.383,0.5518,0.014,0.015",
urn:cite2:op:hc-il22.15,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@π,"urn:cite:hmt:vaimg.VA282RN-0452@0.398,0.5533,0.019,0.015",
urn:cite2:op:hc-il22.16,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ε[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.414,0.5503,0.015,0.015",
urn:cite2:op:hc-il22.17,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@φ,"urn:cite:hmt:vaimg.VA282RN-0452@0.427,0.5495,0.015,0.0218",
urn:cite2:op:hc-il22.18,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@υ[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.441,0.5526,0.012,0.012",
urn:cite2:op:hc-il22.19,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ζ,"urn:cite:hmt:vaimg.VA282RN-0452@0.448,0.5563,0.012,0.0128",
urn:cite2:op:hc-il22.20,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ό[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.46,0.5495,0.013,0.0143",
urn:cite2:op:hc-il22.21,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τεσ,"urn:cite:hmt:vaimg.VA282RN-0452@0.47,0.548,0.031,0.0195",
urn:cite2:op:hc-il22.22,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἠ,"urn:cite:hmt:vaimg.VA282RN-0452@0.502,0.5465,0.017,0.0195",
urn:cite2:op:hc-il22.23,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@̈ΰ[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.517,0.5473,0.017,0.0195",
urn:cite2:op:hc-il22.24,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τε,"urn:cite:hmt:vaimg.VA282RN-0452@0.529,0.5495,0.02,0.0195", 
urn:cite2:op:hc-il22.25,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ν[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.548,0.5495,0.018,0.0195",
urn:cite2:op:hc-il22.26,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ε[3],"urn:cite:hmt:vaimg.VA282RN-0452@0.558,0.5518,0.015,0.0135",
urn:cite2:op:hc-il22.27,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@β,"urn:cite:hmt:vaimg.VA282RN-0452@0.57,0.5518,0.015,0.0135",
urn:cite2:op:hc-il22.28,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ρ,"urn:cite:hmt:vaimg.VA282RN-0452@0.581,0.5548,0.011,0.0135",
urn:cite2:op:hc-il22.29,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ο[3],"urn:cite:hmt:vaimg.VA282RN-0452@0.591,0.5526,0.011,0.0135",
urn:cite2:op:hc-il22.30,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ὶ[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.595,0.5458,0.014,0.018",
urn:cite2:op:hc-il22.31,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@τ[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.486,0.2305,0.019,0.018"
urn:cite2:op:hc-il22.32,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ί[3],"urn:cite:hmt:vaimg.VA282VN-0784@0.501,0.2275,0.013,0.0203"
urn:cite2:op:hc-il22.33,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@πτ,"urn:cite:hmt:vaimg.VA282VN-0784@0.512,0.2312,0.022,0.018"
urn:cite2:op:hc-il22.34,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@έ[4],"urn:cite:hmt:vaimg.VA282VN-0784@0.529,0.2282,0.022,0.0195"
urn:cite2:op:hc-il22.35,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@μ[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.542,0.2342,0.015,0.015"
urn:cite2:op:hc-il22.36,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ε[5],"urn:cite:hmt:vaimg.VA282VN-0784@0.555,0.2312,0.015,0.012"
urn:cite2:op:hc-il22.37,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@π[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.568,0.2335,0.019,0.012"
urn:cite2:op:hc-il22.38,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@η[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.584,0.2342,0.011,0.012"
urn:cite2:op:hc-il22.39,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@λ,"urn:cite:hmt:vaimg.VA282VN-0784@0.595,0.232,0.016,0.0158"
urn:cite2:op:hc-il22.40,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@έ[6],"urn:cite:hmt:vaimg.VA282VN-0784@0.61,0.2267,0.015,0.0195"
urn:cite2:op:hc-il22.41,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ο[4],"urn:cite:hmt:vaimg.VA282VN-0784@0.618,0.2357,0.011,0.009"
urn:cite2:op:hc-il22.42,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@σ[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.626,0.2342,0.014,0.012"
urn:cite2:op:hc-il22.43,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@υἱ,"urn:cite:hmt:vaimg.VA282VN-0784@0.64,0.2335,0.016,0.015"
urn:cite2:op:hc-il22.44,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ὲ[7],"urn:cite:hmt:vaimg.VA282VN-0784@0.655,0.2297,0.017,0.0195"
urn:cite2:op:hc-il22.45,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@π[3],"urn:cite:hmt:vaimg.VA282VN-0784@0.675,0.2357,0.015,0.0128"
urn:cite2:op:hc-il22.46,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ο[5],"urn:cite:hmt:vaimg.VA282VN-0784@0.685,0.2365,0.011,0.0105"
urn:cite2:op:hc-il22.47,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@σ[3],"urn:cite:hmt:vaimg.VA282VN-0784@0.695,0.2365,0.012,0.0113"
urn:cite2:op:hc-il22.48,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ὶ[4],"urn:cite:hmt:vaimg.VA282VN-0784@0.704,0.2282,0.008,0.0188"
urn:cite2:op:hc-il22.49,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ν[4],"urn:cite:hmt:vaimg.VA282VN-0784@0.711,0.2365,0.012,0.0128"
urn:cite2:op:hc-il22.50,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@τ[3],"urn:cite:hmt:vaimg.VA282VN-0784@0.724,0.2365,0.014,0.0135"
urn:cite2:op:hc-il22.51,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@α[4],"urn:cite:hmt:vaimg.VA282VN-0784@0.736,0.2365,0.012,0.0113"
urn:cite2:op:hc-il22.52,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@χ,"urn:cite:hmt:vaimg.VA282VN-0784@0.744,0.2365,0.019,0.0158"
urn:cite2:op:hc-il22.53,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@έ[8],"urn:cite:hmt:vaimg.VA282VN-0784@0.757,0.229,0.018,0.0195"
urn:cite2:op:hc-il22.54,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@εσσ,"urn:cite:hmt:vaimg.VA282VN-0784@0.769,0.2335,0.022,0.015"
urn:cite2:op:hc-il22.55,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ι[5],"urn:cite:hmt:vaimg.VA282VN-0784@0.791,0.2327,0.008,0.0165"
urn:cite2:op:hc-il22.56,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@δ,"urn:cite:hmt:vaimg.VA282VN-0784@0.797,0.2327,0.016,0.015"
urn:cite2:op:hc-il22.57,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ι[6],"urn:cite:hmt:vaimg.VA282VN-0784@0.812,0.2365,0.009,0.012"
urn:cite2:op:hc-il22.58,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ώ[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.819,0.2312,0.018,0.015"
urn:cite2:op:hc-il22.59,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@κ[2],"urn:cite:hmt:vaimg.VA282VN-0784@0.835,0.235,0.013,0.0143"
urn:cite2:op:hc-il22.60,urn:cts:greekLit:tlg0012.tlg001.msA:22.8@ε[9],"urn:cite:hmt:vaimg.VA282VN-0784@0.847,0.2357,0.009,0.012"
