Observation,TextUrn,Image,Comments
urn:cite2:op:hc-il22.1,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ὡ,"urn:cite:hmt:vaimg.VA282RN-0452@0.125,0.5233,0.094,0.0788",
urn:cite2:op:hc-il22.2,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@σ,"urn:cite:hmt:vaimg.VA282RN-0452@0.215,0.5533,0.021,0.015",
urn:cite2:op:hc-il22.3,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ο,"urn:cite:hmt:vaimg.VA282RN-0452@0.231,0.5541,0.013,0.0128",
urn:cite2:op:hc-il22.4,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἱ,"urn:cite:hmt:vaimg.VA282RN-0452@0.24,0.5533,0.013,0.0128",
urn:cite2:op:hc-il22.5,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@μ,"urn:cite:hmt:vaimg.VA282RN-0452@0.252,0.5541,0.017,0.0128",
urn:cite2:op:hc-il22.6,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ὲ,"urn:cite:hmt:vaimg.VA282RN-0452@0.267,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.7,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ν,"urn:cite:hmt:vaimg.VA282RN-0452@0.279,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.8,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@κ,"urn:cite:hmt:vaimg.VA282RN-0452@0.298,0.5526,0.014,0.0128",
urn:cite2:op:hc-il22.9,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@α,"urn:cite:hmt:vaimg.VA282RN-0452@0.314,0.5533,0.014,0.0128",
urn:cite2:op:hc-il22.10,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τ,"urn:cite:hmt:vaimg.VA282RN-0452@0.326,0.5541,0.014,0.0128",
urn:cite2:op:hc-il22.11,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@α[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.337,0.5518,0.019,0.0128",
urn:cite2:op:hc-il22.12,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἄ[3],"urn:cite:hmt:vaimg.VA282RN-0452@0.356,0.5488,0.022,0.015",
urn:cite2:op:hc-il22.13,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@στ,"urn:cite:hmt:vaimg.VA282RN-0452@0.368,0.5526,0.019,0.015",
urn:cite2:op:hc-il22.14,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@υ,"urn:cite:hmt:vaimg.VA282RN-0452@0.383,0.5518,0.014,0.015",
urn:cite2:op:hc-il22.15,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@π,"urn:cite:hmt:vaimg.VA282RN-0452@0.398,0.5533,0.019,0.015",
urn:cite2:op:hc-il22.16,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ε[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.414,0.5503,0.015,0.015",
urn:cite2:op:hc-il22.17,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@φ,"urn:cite:hmt:vaimg.VA282RN-0452@0.427,0.5495,0.015,0.0218",
urn:cite2:op:hc-il22.18,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@υ[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.441,0.5526,0.012,0.012",
urn:cite2:op:hc-il22.19,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ζ,"urn:cite:hmt:vaimg.VA282RN-0452@0.448,0.5563,0.012,0.0128",
urn:cite2:op:hc-il22.20,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ό[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.46,0.5495,0.013,0.0143",
urn:cite2:op:hc-il22.21,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τεσ,"urn:cite:hmt:vaimg.VA282RN-0452@0.47,0.548,0.031,0.0195",
urn:cite2:op:hc-il22.22,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@ἠ,"urn:cite:hmt:vaimg.VA282RN-0452@0.502,0.5465,0.017,0.0195",
urn:cite2:op:hc-il22.23,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@̈ΰ[2],"urn:cite:hmt:vaimg.VA282RN-0452@0.517,0.5473,0.017,0.0195",
urn:cite2:op:hc-il22.24,urn:cts:greekLit:tlg0012.tlg001.msA:22.1@τε,"urn:cite:hmt:vaimg.VA282RN-0452@0.529,0.5495,0.02,0.0195", 
