Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:21.1,"urn:cite:hmt:vaimg.VA271RN-0441@0.155,0.3191,0.05,0.0285",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msAint.hmt:21.2,"urn:cite:hmt:vaimg.VA271RN-0441@0.137,0.494,0.07,0.0375",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msAint.hmt:21.3,"urn:cite:hmt:vaimg.VA271VN-0773@0.823,0.3529,0.086,0.0315",urn:cite:hmt:msA.271v
urn:cts:greekLit:tlg5026.msAint.hmt:21.4,"urn:cite:hmt:vaimg.VA271VN-0773@0.858,0.4077,0.058,0.0458",urn:cite:hmt:msA.271v
urn:cts:greekLit:tlg5026.msAint.hmt:21.5,"urn:cite:hmt:vaimg.VA272RN-0442@0.141,0.283,0.075,0.0285",urn:cite:hmt:msA.272r
urn:cts:greekLit:tlg5026.msAint.hmt:21.6,"urn:cite:hmt:vaimg.VA272RN-0442@0.126,0.6059,0.074,0.0233",urn:cite:hmt:msA.272r
urn:cts:greekLit:tlg5026.msAint.hmt:21.7,"urn:cite:hmt:vaimg.VA272RN-0442@0.121,0.6246,0.081,0.0248",urn:cite:hmt:msA.272r
---,Those below need to be edited, ---
urn:cts:greekLit:tlg5026.msAint.hmt:21.8,"urn:cite:hmt:vaimg.VA273RN-0443@0.125,0.4947,0.085,0.0616",urn:cite:hmt:msA.273r
urn:cts:greekLit:tlg5026.msAint.hmt:21.9,"urn:cite:hmt:vaimg.VA273RN-0443@0.13,0.5811,0.072,0.0383",urn:cite:hmt:msA.273r
urn:cts:greekLit:tlg5026.msAint.hmt:21.10,"urn:cite:hmt:vaimg.VA273VN-0775@0.858,0.3408,0.058,0.0413",urn:cite:hmt:msA.273v
urn:cts:greekLit:tlg5026.msAint.hmt:21.11,"urn:cite:hmt:vaimg.VA274RN-0444@0.123,0.4039,0.085,0.0608",urn:cite:hmt:msA.274r
urn:cts:greekLit:tlg5026.msAint.hmt:21.12,"urn:cite:hmt:vaimg.VA274RN-0444@0.13,0.4865,0.079,0.0353",urn:cite:hmt:msA.274r
urn:cts:greekLit:tlg5026.msAint.hmt:21.13,"urn:cite:hmt:vaimg.VA274VN-0776@0.872,0.5143,0.03,0.0203",urn:cite:hmt:msA.274v
urn:cts:greekLit:tlg5026.msAint.hmt:21.14,"urn:cite:hmt:vaimg.VA274VN-0776@0.88,0.5833,0.034,0.018",urn:cite:hmt:msA.274v
urn:cts:greekLit:tlg5026.msAint.hmt:21.15,"urn:cite:hmt:vaimg.VA274VN-0776@0.862,0.6044,0.049,0.015",urn:cite:hmt:msA.274v
urn:cts:greekLit:tlg5026.msAint.hmt:21.16,"urn:cite:hmt:vaimg.VA275RN-0445@0.131,0.3851,0.077,0.0526",urn:cite:hmt:msA.275r
urn:cts:greekLit:tlg5026.msAint.hmt:21.17,"urn:cite:hmt:vaimg.VA275RN-0445@0.131,0.4459,0.079,0.0556",urn:cite:hmt:msA.275r
urn:cts:greekLit:tlg5026.msAint.hmt:21.18,"urn:cite:hmt:vaimg.VA275RN-0445@0.132,0.6051,0.076,0.0435",urn:cite:hmt:msA.275r
urn:cts:greekLit:tlg5026.msAint.hmt:21.19,"urn:cite:hmt:vaimg.VA275VN-0777@0.885,0.3251,0.039,0.0323",urn:cite:hmt:msA.275v
urn:cts:greekLit:tlg5026.msAint.hmt:21.20,"urn:cite:hmt:vaimg.VA276RN-0446@0.126,0.226,0.055,0.0173",urn:cite:hmt:msA.276r
urn:cts:greekLit:tlg5026.msAint.hmt:21.21,"urn:cite:hmt:vaimg.VA276RN-0446@0.095,0.491,0.065,0.021",urn:cite:hmt:msA.276r
urn:cts:greekLit:tlg5026.msAint.hmt:21.22,"urn:cite:hmt:vaimg.VA276RN-0446@0.104,0.5736,0.062,0.024",urn:cite:hmt:msA.276r
urn:cts:greekLit:tlg5026.msAint.hmt:21.23,"urn:cite:hmt:vaimg.VA276RN-0446@0.104,0.6089,0.062,0.0548",urn:cite:hmt:msA.276r
urn:cts:greekLit:tlg5026.msAint.hmt:21.24,"urn:cite:hmt:vaimg.VA276VN-0778@0.854,0.3641,0.067,0.0248",urn:cite:hmt:msA.276v
urn:cts:greekLit:tlg5026.msAint.hmt:21.25,"urn:cite:hmt:vaimg.VA276VN-0778@0.874,0.4572,0.037,0.0165",urn:cite:hmt:msA.276v
