Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:22.1,"urn:cite:hmt:vaimg.VA282RN-0452@0.359,0.5998,0.055,0.0188",urn:cite2:hmt:msA.282r
urn:cts:greekLit:tlg5026.msAil.hmt:22.2,"urn:cite:hmt:vaimg.VA282VN-0784@0.605,0.5826,0.088,0.0113",urn:cite2:hmt:msA.282v
urn:cts:greekLit:tlg5026.msAil.hmt:22.3,"urn:cite:hmt:vaimg.VA283RN-0453@0.484,0.3994,0.084,0.0135",urn:cite2:hmt:msA.283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.4,"urn:cite:hmt:vaimg.VA283RN-0453@0.493,0.4159,0.063,0.0158",urn:cite2:hmt:msA.283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.5,"urn:cite:hmt:vaimg.VA283RN-0453@0.349,0.4347,0.032,0.0135",urn:cite2:hmt:msA.283r
urn:cts:greekLit:tlg5026.msAil.hmt:22.6,"urn:cite:hmt:vaimg.VA283VN-0785@0.791,0.2125,0.05,0.018",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.7,"urn:cite:hmt:vaimg.VA283VN-0785@0.561,0.2365,0.069,0.0143",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.8,"urn:cite:hmt:vaimg.VA283VN-0785@0.726,0.2387,0.086,0.015",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.9,"urn:cite:hmt:vaimg.VA283VN-0785@0.633,0.3731,0.049,0.0135",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.10,"urn:cite:hmt:vaimg.VA283VN-0785@0.509,0.3949,0.052,0.0135",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.11,"urn:cite:hmt:vaimg.VA283VN-0785@0.724,0.4332,0.122,0.0158",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.12,"urn:cite:hmt:vaimg.VA283VN-0785@0.746,0.4542,0.067,0.0128",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAil.hmt:22.13,"urn:cite:hmt:vaimg.VA284RN-0454@0.369,0.1914,0.097,0.0173",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAil.hmt:22.14,"urn:cite:hmt:vaimg.VA284RN-0454@0.454,0.3889,0.087,0.0158",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAil.hmt:22.15,"urn:cite:hmt:vaimg.VA284RN-0454@0.466,0.5563,0.045,0.015",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAil.hmt:22.16,"urn:cite:hmt:vaimg.VA284RN-0454@0.444,0.5923,0.088,0.0165",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAil.hmt:22.17,"urn:cite:hmt:vaimg.VA284VN-0786@0.709,0.3116,0.079,0.0165",urn:cite2:hmt:msA.284v
urn:cts:greekLit:tlg5026.msAil.hmt:22.18,"urn:cite:hmt:vaimg.VA284VN-0786@0.5,0.6479,0.05,0.012",urn:cite2:hmt:msA.284v
urn:cts:greekLit:tlg5026.msAil.hmt:22.19,"urn:cite:hmt:vaimg.VA284VN-0786@0.567,0.6471,0.039,0.0128",urn:cite2:hmt:msA.284v
urn:cts:greekLit:tlg5026.msAil.hmt:22.20,"urn:cite:hmt:vaimg.VA285RN-0455@0.386,0.485,0.036,0.0113",urn:cite2:hmt:msA.285r
urn:cts:greekLit:tlg5026.msAil.hmt:22.21,"urn:cite:hmt:vaimg.VA285RN-0455@0.453,0.5225,0.05,0.012",urn:cite2:hmt:msA.285r
urn:cts:greekLit:tlg5026.msAil.hmt:22.22,"urn:cite:hmt:vaimg.VA285RN-0455@0.387,0.5601,0.071,0.0105",urn:cite2:hmt:msA.285r
urn:cts:greekLit:tlg5026.msAil.hmt:22.23,"urn:cite:hmt:vaimg.VA285VN-0787@0.765,0.2087,0.102,0.0233",urn:cite2:hmt:msA.285v
urn:cts:greekLit:tlg5026.msAil.hmt:22.24,"urn:cite:hmt:vaimg.VA285VN-0787@0.745,0.2785,0.065,0.0165",urn:cite2:hmt:msA.285v
urn:cts:greekLit:tlg5026.msAil.hmt:22.25,"urn:cite:hmt:vaimg.VA285VN-0787@0.629,0.2965,0.047,0.0165",urn:cite2:hmt:msA.285v
urn:cts:greekLit:tlg5026.msAil.hmt:22.26,"urn:cite2:hmt:vaimg.2017a:VA286RN_0456@0.5884,0.4474,0.03887,0.01217",urn:cite2:hmt:msA.286r
urn:cts:greekLit:tlg5026.msAil.hmt:22.27,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.28,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.29,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.30,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.31,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.32,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.33,"",urn:cite2:hmt:msA.28
urn:cts:greekLit:tlg5026.msAil.hmt:22.34,"",urn:cite2:hmt:msA.28
