Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:21.1,"urn:cite:hmt:vaimg.VA270RN-0440@0.205,0.0908,0.639,0.1658",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.2,"urn:cite:hmt:vaimg.VA270RN-0440@0.641,0.2551,0.187,0.0675",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.3,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.3151,0.192,0.087",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.4,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.3983,0.192,0.0585",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.5,"urn:cite:hmt:vaimg.VA270RN-0440@0.64,0.4464,0.208,0.0645",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.6,"urn:cite:hmt:vaimg.VA270RN-0440@0.631,0.5026,0.208,0.0645",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.7,"urn:cite:hmt:vaimg.VA270RN-0440@0.618,0.5581,0.207,0.0878",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.8,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.6354,0.639,0.0863",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.9,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.6992,0.639,0.0503",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.10,"urn:cite:hmt:vaimg.VA270RN-0440@0.176,0.7254,0.639,0.0375",urn:cite:hmt:msA.270r
urn:cts:greekLit:tlg5026.msA.hmt:21.11,"urn:cite:hmt:vaimg.VA270VN-0772@0.23,0.2125,0.225,0.0586",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.12,"urn:cite:hmt:vaimg.VA270VN-0772@0.221,0.2658,0.225,0.0465",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.13,"urn:cite:hmt:vaimg.VA270VN-0772@0.221,0.2958,0.225,0.039",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.14,"urn:cite:hmt:vaimg.VA270VN-0772@0.221,0.3311,0.228,0.0526",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.15,"urn:cite:hmt:vaimg.VA270VN-0772@0.223,0.3806,0.228,0.2087",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.16,"urn:cite:hmt:vaimg.VA270VN-0772@0.223,0.5841,0.248,0.0405",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.17,"urn:cite:hmt:vaimg.VA270VN-0772@0.228,0.6216,0.223,0.0473",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.18,"urn:cite:hmt:vaimg.VA270VN-0772@0.229,0.6652,0.223,0.0413",urn:cite:hmt:msA.270v
urn:cts:greekLit:tlg5026.msA.hmt:21.19,"urn:cite:hmt:vaimg.VA271RN-0441@0.646,0.2425,0.188,0.1156",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msA.hmt:21.20,"urn:cite:hmt:vaimg.VA271RN-0441@0.642,0.3559,0.216,0.0548",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msA.hmt:21.21,"urn:cite:hmt:vaimg.VA271RN-0441@0.179,0.6802,0.561,0.024",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msA.hmt:21.22,"urn:cite:hmt:vaimg.VA271RN-0441@0.182,0.7035,0.55,0.015",urn:cite:hmt:msA.271r
urn:cts:greekLit:tlg5026.msA.hmt:21.23,"urn:cite:hmt:vaimg.VA271VN-0773@0.208,0.1149,0.701,0.0458",urn:cite:hmt:msA.271v
urn:cts:greekLit:tlg5026.msA.hmt:21.24,"urn:cite:hmt:vaimg.VA271VN-0773@0.208,0.4197,0.21,0.0465",urn:cite:hmt:msA.271v
urn:cts:greekLit:tlg5026.msA.hmt:21.25,"urn:cite:hmt:vaimg.VA271VN-0773@0.214,0.4632,0.212,0.0353",urn:cite:hmt:msA.271v
urn:cts:greekLit:tlg5026.msA.hmt:21.26,"urn:cite:hmt:vaimg.VA271VN-0773@0.212,0.7132,0.694,0.039",urn:cite:hmt:msA.271v
