Slur,Reading,Image
urn:cite:hmt:venAslur.22-1,urn:cts:greekLit:tlg001.tlg0012.msA:22.22@ἀεθλοφόρος,"urn:cite:hmt:vaimg.VA282VN-0784@0.703,0.4947,0.098,0.0255"
urn:cite:hmt:venAslur.22-2,urn:cts:greekLit:tlg001.tlg0012.msA:22.79@δακρυχέουσα,"urn:cite:hmt:vaimg.VA283VN-0785@0.774,0.6239,0.118,0.0248"
urn:cite:hmt:venAslur.22-3,urn:cts:greekLit:tlg001.tlg0012.msA:22.81@δακρυχέουσ᾽,"urn:cite:hmt:vaimg.VA283VN-0785@0.568,0.6629,0.118,0.0255"
urn:cite:hmt:venAslur.22-4,urn:cts:greekLit:tlg001.tlg0012.msA:22.83@λαθικηδέα,"urn:cite:hmt:vaimg.VA284RN-0454@0.351,0.2042,0.121,0.0218"
urn:cite:hmt:venAslur.22-5,urn:cts:greekLit:tlg001.tlg0012.msA:22.105@ἑλκεσιπέπλους,"urn:cite:hmt:vaimg.VA284RN-0454@0.498,0.6194,0.14,0.0218"
urn:cite:hmt:venAslur.22-6,urn:cts:greekLit:tlg001.tlg0012.msA:22.182@νεφεληγερέτα,"urn:cite:hmt:vaimg.VA285VN-0787@0.766,0.6547,0.107,0.024"
urn:cite:hmt:venAslur.22-7,urn:cts:greekLit:tlg001.tlg0012.msA:22.210@τανηλεγέος,"urn:cite:hmt:vaimg.VA286VN-0788@0.654,0.25,0.1,0.024"
urn:cite:hmt:venAslur.22-8,urn:cts:greekLit:tlg001.tlg0012.msA:22.221@προπροκυλινδόμενος,"urn:cite:hmt:vaimg.VA286VN-0788@0.48,0.4414,0.209,0.024"
urn:cite:hmt:venAslur.22-9,urn:cts:greekLit:tlg001.tlg0012.msA:22.225@χαλκογλώχινος,"urn:cite:hmt:vaimg.VA286VN-0788@0.652,0.5165,0.151,0.0233"
urn:cite:hmt:venAslur.22-10,urn:cts:greekLit:tlg001.tlg0012.msA:22.232@κορυθαίολος,"urn:cite:hmt:vaimg.VA286VN-0788@0.73,0.6494,0.103,0.0195"
urn:cite:hmt:venAslur.22-11,urn:cts:greekLit:tlg001.tlg0012.msA:22.249@κορυθαίολος,"urn:cite2:hmt:vaimg.2017a:VA287RN_0457@0.4906,0.4934,0.1048,0.02365"
urn:cite:hmt:venAslur.22-12,urn:cts:greekLit:tlg001.tlg0012.msA:22.295@λευκάσπιδα,"urn:cite2:hmt:vaimg.2017a:VA288RN_0458@0.3779,0.3994,0.1115,0.01881"
urn:cite:hmt:venAslur.22-13,urn:cts:greekLit:tlg001.tlg0012.msA:22.337@ὀλιγοδρανέων,"urn:cite2:hmt:vaimg.2017a:VA289RN_0459@0.2736,0.2509,0.1151,0.02019"
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.349@εἰκοσινήριτ᾽,"urn:cite2:hmt:vaimg.2017a:VA289RN_0459@0.4407,0.4759,0.1085,0.02019"
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.355@κορυθαίολος,"urn:cite2:hmt:vaimg.2017a:VA289RN_0459@0.4913,0.5891,0.09488,0.02047"
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.471@κορυθαίολος,"urn:cite2:hmt:vaimg.2017a:VA291VN_0793@0.6597,0.4198,0.1069,0.01826"
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.490@παναφήλικα,"urn:cite2:hmt:vaimg.2017a:VA292RN_0462@0.3675,0.3046,0.1122,0.02019"
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.502@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@,""
urn:cite:hmt:venAslur.22-,urn:cts:greekLit:tlg001.tlg0012.msA:22.@
